
Number of iterations used: 1

Case  Inputs Targets   Means Error^2

   1    0.92    1.49    1.60  0.0129
   2    0.71    1.83    1.80  0.0005
   3    0.20    1.72    1.62  0.0092
   4    0.19    1.76    1.60  0.0261
   5    1.18    1.18    1.26  0.0065
   6   -2.10    0.05    0.21  0.0262
   7   -1.34    0.30    0.22  0.0068
   8   -1.62    0.48    0.22  0.0684
   9   -2.29   -0.41    0.20  0.3776
  10   -0.23    0.89    0.95  0.0038
  11    1.51    0.82    0.96  0.0190
  12    0.28    1.73    1.70  0.0009
  13   -0.11    1.30    1.15  0.0248
  14   -0.54    0.41    0.53  0.0135
  15   -0.26    0.82    0.91  0.0082
  16    1.62    0.75    0.93  0.0306
  17    0.73    1.82    1.79  0.0005
  18    0.74    1.79    1.78  0.0000
  19   -0.59    0.41    0.48  0.0039
  20   -2.03   -0.01    0.21  0.0466
  21   -0.52    0.44    0.55  0.0119
  22    0.73    1.77    1.79  0.0005
  23    0.44    1.95    1.82  0.0179
  24    0.59    1.93    1.85  0.0066
  25   -0.02    1.30    1.31  0.0000
  26    0.39    1.78    1.80  0.0003
  27    2.10    1.04    0.98  0.0032
  28    0.66    1.92    1.83  0.0095
  29    0.51    1.95    1.84  0.0107
  30    0.15    1.48    1.55  0.0048
  31   -0.28    0.99    0.87  0.0132
  32    0.76    1.81    1.77  0.0019
  33    0.28    1.72    1.70  0.0006
  34    0.10    1.59    1.48  0.0118
  35    0.96    1.50    1.55  0.0024
  36   -1.24    0.23    0.23  0.0000
  37    1.41    0.95    1.02  0.0051
  38    0.18    1.65    1.59  0.0043
  39   -0.00    1.42    1.33  0.0073
  40   -0.87    0.12    0.30  0.0320
  41    0.15    1.42    1.55  0.0169
  42    1.41    0.87    1.02  0.0219
  43   -1.42    0.44    0.22  0.0493
  44    0.44    1.99    1.82  0.0270
  45    0.08    1.66    1.46  0.0374
  46    1.56    0.68    0.94  0.0676
  47    0.65    1.94    1.83  0.0114
  48   -1.32    0.38    0.22  0.0254
  49   -0.98    0.03    0.26  0.0573
  50   -0.65    0.37    0.42  0.0028
  51    0.34    1.93    1.76  0.0288
  52    0.22    1.67    1.64  0.0012
  53    0.22    1.88    1.64  0.0590
  54    0.52    2.11    1.84  0.0693
  55   -0.74    0.50    0.36  0.0192
  56    0.66    1.89    1.83  0.0036
  57    0.18    1.77    1.59  0.0324
  58    0.87    1.52    1.66  0.0189
  59   -1.51    0.57    0.22  0.1209
  60   -0.02    1.49    1.30  0.0355
  61   -0.15    1.11    1.09  0.0003
  62    0.80    1.58    1.74  0.0229
  63   -0.51    0.53    0.56  0.0009
  64   -0.70    0.26    0.39  0.0165
  65    0.04    1.67    1.39  0.0784
  66    0.45    1.85    1.82  0.0007
  67   -2.33   -0.48    0.20  0.4708
  68    0.40    1.84    1.80  0.0012
  69   -1.46    0.49    0.22  0.0762
  70    1.46    0.83    0.99  0.0267
  71   -0.24    1.01    0.94  0.0053
  72   -1.21    0.38    0.23  0.0230
  73    0.66    1.86    1.83  0.0012
  74   -0.86    0.18    0.30  0.0149
  75    0.67    1.81    1.82  0.0002
  76    0.25    1.84    1.67  0.0303
  77    1.08    1.17    1.39  0.0492
  78   -0.02    1.39    1.29  0.0090
  79    2.39    1.47    1.08  0.1525
  80   -1.35    0.46    0.22  0.0551
  81    0.89    1.62    1.64  0.0005
  82   -0.72    0.21    0.38  0.0265
  83    2.05    0.94    0.97  0.0004
  84    1.30    0.96    1.12  0.0253
  85    0.09    1.55    1.47  0.0073
  86   -0.20    1.09    1.00  0.0085
  87    0.89    1.43    1.64  0.0440
  88   -0.22    0.99    0.97  0.0008
  89    0.81    1.70    1.73  0.0007
  90    0.70    1.90    1.81  0.0075
  91   -0.16    1.21    1.07  0.0191
  92    0.79    1.70    1.74  0.0022
  93   -1.99    0.19    0.21  0.0003
  94    0.18    1.71    1.59  0.0142
  95    1.56    0.84    0.94  0.0116
  96   -0.32    0.80    0.81  0.0002
  97   -0.12    1.23    1.14  0.0080
  98   -0.69    0.35    0.40  0.0024
  99   -1.33    0.19    0.22  0.0010
 100   -0.09    1.31    1.19  0.0144

Average squared error guessing mean:    0.02766+-0.00628

